,CUSTOMER_ID,COLLEGE,DATA,INCOME,OVERCHARGE,LEFTOVER,HOUSE,LESSTHAN600k,CHILD,JOB_CLASS,REVENUE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,TIME_CLIENT,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,CHURNED,CHURN_PROBABILITY
48,C100167,zero,1529.9999999999998,32025.0,0,0,287623.0,True,1,2,199.0,315,1,3.1,10,unsat,avg,actively_looking_into_it,0,0.6528193
49,C100168,zero,801.980198019802,85474.0,203,0,231685.0,True,3,4,131.0,445,25,7.1,9,very_unsat,very_high,no,0,0.7125024
50,C100170,one,525.5474452554745,39150.5,37,0,264440.0,True,4,4,142.0,385,5,1.4,13,very_sat,little,considering,1,0.34757477
51,C100173,zero,1710.0,23881.0,0,0,224162.0,True,2,2,145.0,166,0,3.7,1,very_unsat,little,considering,0,0.58953273
52,C100174,one,100.609756097561,33133.5,228,41,296001.0,True,1,3,125.0,304,11,1.1,1,very_unsat,high,considering,0,0.6267598
53,C100177,one,930.0,54001.0,0,0,270547.0,True,2,2,160.0,645,0,2.1,2,very_unsat,avg,actively_looking_into_it,0,0.6774297
54,C100179,one,600.0,54700.5,0,47,291226.0,True,0,2,150.0,657,0,3.0,2,sat,little,actively_looking_into_it,1,0.30845845
55,C100189,zero,483.33333333333326,22314.5,0,8,297283.0,True,2,2,208.0,199,1,2.9,11,very_unsat,avg,actively_looking_into_it,1,0.16220939
56,C100191,one,1440.0,76775.5,0,0,171979.0,True,2,4,171.0,756,1,3.8,10,sat,little,never_thought,1,0.34090656
57,C100193,zero,307.2289156626506,83269.5,66,45,291797.0,True,1,4,212.0,645,4,2.7,2,very_unsat,very_high,actively_looking_into_it,0,0.5680173
58,C100194,one,46.11443210930828,40336.0,211,86,225839.0,True,4,2,231.0,224,18,2.8,1,avg,very_little,considering,1,0.2852015
59,C100196,zero,639.0532544378698,29005.0,69,5,618797.0,False,1,2,105.0,242,5,4.6,4,very_sat,little,considering,1,0.11328703
60,C100212,zero,161.85696361355082,49770.5,167,53,318502.0,True,2,4,113.0,325,29,3.3,2,very_unsat,little,considering,0,0.64335585
61,C100217,zero,452.8301886792452,41161.0,218,57,269743.0,True,0,1,139.0,183,29,4.8,1,very_unsat,very_little,actively_looking_into_it,0,0.7968236
62,C100228,zero,131.86813186813183,71836.5,67,47,485594.0,True,4,4,144.0,168,0,3.8,1,very_sat,very_high,considering,1,0.31601816
63,C100231,one,132.35294117647058,43128.5,0,24,153593.0,True,2,1,121.0,327,0,1.5,5,unsat,very_high,considering,1,0.20851922
64,C100235,one,244.3438914027149,58707.0,61,6,475875.0,True,2,4,82.0,600,4,1.8,4,very_unsat,very_high,actively_looking_into_it,1,0.45301455
65,C100237,one,439.49044585987264,33121.5,57,0,525379.0,True,3,4,168.0,388,5,3.3,13,very_sat,little,never_thought,1,0.2360341
66,C100240,zero,1440.0,72629.0,0,18,163100.0,True,1,1,150.0,897,0,3.8,6,unsat,little,no,1,0.19830531
67,C100245,zero,146.57980456026058,44458.0,207,0,400529.0,True,2,3,90.0,179,21,1.5,12,very_unsat,avg,actively_looking_into_it,0,0.6430148
68,C100247,one,77.41935483870967,38655.5,0,21,504218.0,True,3,3,210.0,349,0,1.8,5,very_unsat,little,considering,1,0.10481727
69,C100248,zero,1041.6666666666667,30019.0,44,0,219309.0,True,2,1,183.0,309,3,4.0,11,very_unsat,very_little,actively_looking_into_it,0,0.6663759
70,C100253,one,607.8431372549019,41712.0,53,42,386256.0,True,1,2,186.0,370,4,3.1,1,very_unsat,very_little,considering,1,0.46109492
71,C100254,zero,103.29341317365272,36319.5,38,53,850571.0,False,3,4,132.0,389,5,2.3,2,very_unsat,little,no,1,0.18050206
72,C100261,one,960.0,22014.5,0,23,854808.0,False,1,4,101.0,346,1,2.2,4,very_unsat,very_little,considering,1,0.12728345
73,C100267,one,1350.0,48318.5,0,0,249382.0,True,5,2,165.0,681,0,5.5,15,very_sat,little,never_thought,1,0.35735935
74,C100275,zero,257.7565632458234,37266.0,79,24,180495.0,True,3,1,189.0,320,3,4.6,5,very_unsat,very_little,no,1,0.35216248
75,C100285,zero,101.6311166875784,66452.5,37,66,896997.0,False,3,2,106.0,329,3,3.7,1,very_unsat,very_high,never_thought,1,0.20308822
76,C100291,one,1200.0,18816.0,0,61,954621.0,False,1,2,145.0,131,1,3.0,2,very_unsat,high,considering,1,0.17635441
77,C100294,one,1143.7499999999998,47132.5,60,7,264128.0,True,1,3,181.0,255,4,5.1,5,avg,very_high,no,1,0.32677567
78,C100296,one,540.0,43257.0,0,0,298403.0,True,1,2,217.0,824,0,1.8,13,very_unsat,little,never_thought,1,0.23282844
79,C100301,one,1019.6078431372548,25719.5,53,0,960563.0,False,1,4,125.0,157,15,5.2,12,very_unsat,little,perhaps,1,0.14593965
80,C100302,one,238.93805309734515,83499.5,76,5,717622.0,False,3,1,161.0,279,26,1.8,6,unsat,very_high,actively_looking_into_it,1,0.36107516
81,C100303,one,240.0,54834.0,0,0,277071.0,True,4,4,100.0,489,1,1.8,12,very_unsat,very_little,considering,1,0.19507259
82,C100304,one,62.5,14481.0,0,62,,,5,4,168.0,234,1,2.5,1,very_sat,very_little,considering,1,0.2247749
83,C100310,one,720.0,66456.5,175,0,730452.0,False,1,4,103.0,276,10,5.6,12,very_unsat,very_high,actively_looking_into_it,1,0.3981231
84,C100311,one,691.5887850467291,62595.0,41,18,872630.0,False,2,4,145.0,511,4,5.4,6,very_unsat,little,actively_looking_into_it,1,0.22173071
85,C100312,zero,1229.9999999999998,23689.0,0,8,748140.0,False,0,1,117.0,138,1,3.1,2,very_sat,very_little,perhaps,1,0.09084785
86,C100315,one,262.50000000000006,61108.5,0,38,272041.0,True,2,3,172.0,633,1,2.2,1,very_unsat,little,perhaps,1,0.47057885
87,C100318,one,410.0,45689.0,0,20,240558.0,True,4,2,196.0,397,1,3.1,1,unsat,high,considering,1,0.21500069
88,C100320,one,1590.0,55259.0,0,57,228224.0,True,1,2,136.0,303,4,5.3,2,unsat,avg,actively_looking_into_it,0,0.6451204
89,C100324,zero,684.5637583892617,23196.5,49,0,553676.0,True,0,4,134.0,409,3,2.4,12,very_unsat,little,considering,1,0.253366
90,C100329,one,532.5443786982248,26880.0,69,81,356417.0,True,1,4,211.0,247,4,3.0,1,unsat,very_high,considering,0,0.52700555
91,C100331,zero,76.59574468085106,20471.5,0,84,262474.0,True,2,3,106.0,135,0,1.4,1,very_unsat,little,considering,1,0.4275844
92,C100338,zero,61.10572259941805,28729.0,61,87,247355.0,True,3,3,153.0,359,5,1.1,9,very_unsat,very_high,no,1,0.38190293
93,C100339,zero,321.6630196936543,32972.0,227,13,190178.0,True,2,4,104.0,317,21,4.9,4,very_unsat,very_little,no,0,0.5955949
94,C100340,zero,97.23889555822328,31606.0,203,53,630543.0,False,4,3,131.0,183,15,3.7,1,very_unsat,very_little,no,1,0.084460676
95,C100341,one,510.0,44378.0,0,0,733621.0,False,1,4,208.0,299,0,1.7,8,avg,very_little,considering,1,0.14122105
96,C100355,one,498.11320754717,83885.0,150,28,531551.0,True,3,4,130.0,274,13,6.8,4,very_unsat,little,actively_looking_into_it,0,0.6953283
97,C100356,one,67.11409395973155,59661.0,257,9,711386.0,False,2,1,141.0,390,16,2.0,5,avg,very_high,considering,1,0.102232456
98,C100358,one,1650.0,52043.5,0,0,700172.0,False,4,2,133.0,282,0,4.5,13,unsat,little,perhaps,1,0.25668365
99,C100362,zero,689.9999999999999,27117.5,0,0,274805.0,True,2,4,140.0,348,5,2.3,13,unsat,little,actively_looking_into_it,1,0.33886194
100,C100376,one,140.2214022140221,33015.5,183,53,852774.0,False,3,2,168.0,210,29,3.8,2,unsat,little,considering,1,0.12859368
101,C100392,zero,696.8503937007874,48557.5,228,18,,,3,3,179.0,336,21,10.8,6,unsat,high,considering,0,0.5744275
102,C100396,one,1200.0,34211.0,0,15,408220.0,True,1,2,163.0,310,1,5.0,5,very_sat,very_high,actively_looking_into_it,1,0.13808626
103,C100401,one,488.88888888888897,40342.0,170,0,320914.0,True,0,2,125.0,223,12,2.4,10,very_sat,very_high,considering,0,0.68322396
104,C100408,zero,351.64835164835165,34093.0,173,17,738093.0,False,1,4,190.0,170,29,3.2,4,very_sat,little,no,1,0.15166956
105,C100412,zero,196.18528610354224,67236.5,67,20,598209.0,True,2,2,152.0,858,19,1.4,4,very_unsat,little,considering,1,0.4604172
106,C100416,one,351.72413793103453,22443.5,45,0,843952.0,False,1,1,85.0,174,4,2.7,11,very_sat,very_little,considering,1,0.0783034
107,C100418,one,361.1111111111111,24842.0,0,44,714153.0,False,3,1,226.0,236,1,4.5,1,unsat,high,perhaps,1,0.2069217
108,C100419,zero,382.9787234042553,60401.0,182,11,190650.0,True,1,1,131.0,202,13,2.6,6,unsat,little,actively_looking_into_it,0,0.7628489
109,C100424,zero,656.25,29025.5,0,6,463718.0,True,3,1,114.0,394,27,3.5,4,very_sat,little,considering,1,0.26986474
110,C100427,one,54.878048780487816,42456.5,228,12,323239.0,True,0,3,159.0,206,20,1.6,5,avg,little,never_thought,1,0.20126188
111,C100432,one,360.0,38771.0,0,0,559496.0,True,4,3,211.0,395,0,1.2,9,unsat,little,considering,1,0.26432186
112,C100436,one,520.4081632653061,53586.0,194,21,191037.0,True,1,2,195.0,290,11,3.1,4,avg,little,never_thought,0,0.6442088
113,C100438,zero,222.22222222222223,46141.0,0,17,178962.0,True,3,3,214.0,256,1,3.0,4,very_unsat,little,no,1,0.10063189
114,C100442,one,277.7777777777777,59555.0,224,24,158245.0,True,0,3,201.0,359,17,2.0,6,very_unsat,very_high,considering,0,0.7508048
115,C100443,zero,712.4999999999998,39136.5,60,0,881862.0,False,2,2,107.0,310,5,2.8,11,very_sat,little,considering,1,0.12091833
116,C100445,one,218.1818181818182,73657.0,55,67,603802.0,False,2,2,122.0,425,4,6.0,2,avg,very_high,no,1,0.23209155
117,C100449,one,485.4771784232365,35117.0,61,8,937140.0,False,2,3,137.0,333,4,3.9,5,unsat,very_little,actively_looking_into_it,1,0.15817833
118,C100451,zero,220.00000000000003,81980.5,50,6,197995.0,True,1,4,154.0,455,3,2.1,5,very_sat,very_little,considering,1,0.16712075
119,C100454,one,359.55056179775283,32251.0,167,38,815389.0,False,1,1,133.0,135,24,1.2,2,very_unsat,very_high,actively_looking_into_it,1,0.28681844
120,C100457,zero,369.4029850746269,89541.0,196,24,776070.0,False,4,1,184.0,708,16,4.6,6,very_unsat,very_high,considering,1,0.43593502
121,C100458,zero,118.81188118811885,40574.5,203,0,665784.0,False,1,3,156.0,173,29,2.2,15,very_sat,high,actively_looking_into_it,1,0.119151354
122,C100467,zero,0.0,53795.0,252,10,844624.0,False,0,4,128.0,394,12,1.0,5,very_sat,little,considering,1,0.06203842
123,C100468,zero,187.1455576559546,50569.0,79,35,223426.0,True,4,2,123.0,261,4,2.3,14,unsat,very_high,considering,1,0.38245088
124,C100470,zero,1500.0,65523.5,0,0,,,2,3,105.0,828,4,4.0,9,avg,very_high,considering,1,0.3608799
125,C100480,zero,108.33333333333331,30324.0,0,62,161354.0,True,3,1,178.0,187,4,1.6,2,sat,little,actively_looking_into_it,1,0.3147999
126,C100487,zero,200.0,55989.5,60,17,817700.0,False,4,2,221.0,289,5,1.2,2,very_unsat,little,considering,1,0.26238394
127,C100490,one,155.74783683559954,33389.0,59,65,242755.0,True,4,2,138.0,329,5,3.2,4,very_sat,little,considering,1,0.37919146
128,C100491,one,228.0701754385965,45477.0,71,0,653480.0,False,2,1,138.0,339,0,2.3,15,unsat,very_high,perhaps,1,0.08730662
129,C100506,zero,220.9944751381216,31990.5,163,28,615243.0,False,3,2,144.0,192,17,3.0,1,very_unsat,little,no,1,0.11514419
130,C100512,one,416.12903225806446,48126.5,0,21,,,2,1,112.0,326,1,4.3,5,very_sat,very_high,considering,1,0.11178672
131,C100515,one,960.0,12367.0,0,0,735789.0,False,3,1,153.0,164,0,3.2,15,very_sat,little,actively_looking_into_it,1,0.161677
132,C100517,zero,81.49405772495756,64068.5,188,89,703959.0,False,3,4,165.0,287,27,1.2,2,very_unsat,little,perhaps,1,0.2657739
133,C100524,zero,337.74834437086093,34459.5,202,68,597211.0,True,1,3,207.0,144,11,1.4,1,very_unsat,little,actively_looking_into_it,0,0.5533961
134,C100532,one,87.248322147651,49528.0,67,28,649933.0,False,4,4,77.0,235,5,2.3,12,very_sat,high,considering,1,0.115308166
135,C100534,one,789.4736842105265,62336.5,52,28,349453.0,True,1,3,234.0,700,5,2.0,1,unsat,very_high,considering,1,0.4674803
136,C100537,zero,596.4391691394659,64053.0,147,9,955323.0,False,4,2,209.0,339,20,5.7,4,very_sat,very_little,considering,1,0.21732122
137,C100538,one,58.62068965517243,49048.0,0,77,160726.0,True,2,4,132.0,272,0,2.7,2,very_unsat,very_high,considering,1,0.13914877
138,C100546,zero,1140.0,20856.5,0,0,365450.0,True,2,1,105.0,213,0,2.8,14,very_unsat,very_little,never_thought,0,0.5402255
139,C100554,zero,689.9999999999999,15562.0,0,23,794015.0,False,1,1,187.0,236,0,3.3,13,avg,very_high,actively_looking_into_it,1,0.09047353
140,C100557,one,203.125,63397.0,92,18,573710.0,True,1,3,123.0,685,5,1.3,15,very_unsat,little,considering,1,0.29212725
141,C100561,zero,645.3488372093025,53287.0,72,0,285899.0,True,2,4,151.0,316,3,3.7,14,very_sat,very_high,actively_looking_into_it,1,0.35750848
142,C100567,zero,403.27868852459017,68608.0,205,14,305440.0,True,0,1,125.0,270,27,2.1,4,very_unsat,high,considering,0,0.7244097
143,C100568,one,1440.0,40871.0,0,15,574112.0,True,0,1,84.0,315,0,3.8,5,very_sat,high,considering,1,0.1706087
144,C100570,zero,28.43601895734597,69087.5,225,73,958497.0,False,4,4,299.0,333,18,1.0,2,avg,little,never_thought,1,0.10422957
145,C100574,one,990.0,51927.0,0,13,178637.0,True,1,2,169.0,825,5,2.3,4,avg,little,never_thought,1,0.3335024
146,C100576,one,91.77215189873417,33754.0,148,70,515646.0,True,3,2,151.0,187,12,2.9,1,unsat,very_little,never_thought,1,0.33184958
147,C100578,zero,2159.9999999999995,13552.0,0,0,853323.0,False,3,4,177.0,152,5,8.2,12,very_unsat,high,no,1,0.13460666
148,C100580,zero,394.4636678200693,76416.0,49,14,668071.0,False,3,2,103.0,536,4,3.8,4,very_unsat,very_high,considering,1,0.18890935
149,C100585,one,508.77192982456137,76262.5,82,16,719069.0,False,3,4,93.0,815,3,6.8,4,very_sat,little,perhaps,1,0.24094003
150,C100587,zero,113.00448430493272,88432.5,165,85,260657.0,True,2,4,149.0,355,15,2.2,2,very_unsat,very_little,considering,0,0.61875856
151,C100591,zero,271.87499999999994,44307.0,220,19,874318.0,False,0,3,74.0,130,23,1.9,4,unsat,little,actively_looking_into_it,1,0.16660678
152,C100595,one,335.99999999999994,45854.5,0,15,,,4,3,126.0,309,0,3.8,4,avg,little,actively_looking_into_it,1,0.17341512
153,C100596,one,188.71415356151715,44451.5,221,76,345747.0,True,5,2,144.0,158,26,5.8,2,very_unsat,very_high,perhaps,0,0.60975206
154,C100598,zero,186.07594936708855,32100.5,0,69,510232.0,True,4,3,118.0,315,3,2.9,1,very_unsat,very_high,considering,1,0.39702606
155,C100599,one,118.75,37325.5,0,86,851076.0,False,2,1,146.0,326,1,3.8,2,unsat,very_high,actively_looking_into_it,1,0.17513502
156,C100609,zero,517.5718849840256,36242.0,213,0,153127.0,True,0,4,265.0,192,25,4.4,13,very_sat,high,considering,0,0.6472837
157,C100611,zero,565.5737704918033,77221.5,146,12,432768.0,True,2,2,137.0,805,20,4.9,4,very_unsat,little,actively_looking_into_it,0,0.6985152
158,C100614,one,409.9378881987578,45710.0,61,57,965647.0,False,1,1,69.0,385,3,1.2,2,avg,high,no,1,0.21509343
159,C100616,one,63.59447004608296,38002.5,165,82,639422.0,False,4,3,208.0,241,1,3.3,1,avg,very_high,considering,1,0.06760001
160,C100617,zero,603.2608695652175,21752.0,84,10,687952.0,False,1,1,97.0,211,5,3.7,6,unsat,very_high,considering,1,0.11238676
161,C100623,zero,600.0,21787.0,0,13,517019.0,True,3,3,251.0,140,24,4.6,6,very_sat,little,considering,1,0.20851856
162,C100630,one,686.046511627907,27578.5,158,0,154908.0,True,2,1,154.0,220,18,4.9,12,very_unsat,little,actively_looking_into_it,0,0.7998154
163,C100631,one,378.6407766990292,69870.5,209,12,282915.0,True,1,2,128.0,314,13,4.9,5,unsat,very_little,actively_looking_into_it,0,0.7200982
164,C100632,one,342.8571428571429,74514.5,0,18,677583.0,False,2,3,165.0,837,1,2.2,5,very_unsat,little,no,1,0.14250088
165,C100634,zero,835.4430379746836,60767.0,58,13,633284.0,False,1,1,138.0,167,5,3.4,6,unsat,avg,considering,1,0.20229685
166,C100643,one,159.92647058823528,47244.5,54,39,240668.0,True,2,3,148.0,274,4,2.9,15,very_unsat,high,no,1,0.33452475
167,C100644,zero,139.0728476821192,54723.5,202,59,449694.0,True,0,1,124.0,320,12,1.4,4,very_unsat,little,actively_looking_into_it,0,0.6596937
168,C100647,zero,137.0558375634518,23938.5,97,0,305842.0,True,1,3,98.0,296,5,0.9,15,very_unsat,avg,no,1,0.37634516
169,C100649,one,526.3157894736843,71783.5,71,40,311522.0,True,1,4,98.0,721,3,2.0,5,sat,little,actively_looking_into_it,0,0.55024064
170,C100651,zero,720.0,42372.0,0,0,489531.0,True,0,2,135.0,362,0,1.4,8,very_sat,very_high,actively_looking_into_it,1,0.40204448
171,C100652,one,78.94736842105264,73567.5,176,75,932300.0,False,2,2,134.0,555,16,1.7,2,very_unsat,little,never_thought,1,0.25658774
172,C100659,zero,92.3076923076923,24621.5,0,68,233417.0,True,2,3,178.0,195,0,2.4,2,unsat,little,actively_looking_into_it,1,0.32068264
173,C100663,zero,553.8461538461538,36895.5,160,0,800394.0,False,1,3,157.0,162,28,3.8,10,very_sat,very_high,no,1,0.1882965
174,C100667,zero,734.2657342657342,41309.5,43,16,552741.0,True,1,3,198.0,376,4,3.5,4,unsat,little,considering,1,0.18830848
175,C100669,zero,588.2352941176471,28725.0,53,58,258689.0,True,0,2,171.0,517,4,2.0,2,very_sat,little,considering,1,0.4777698
176,C100675,one,640.0,26702.0,0,20,551514.0,True,2,2,252.0,392,5,5.4,6,unsat,little,never_thought,1,0.15023941
177,C100679,zero,689.9999999999999,16537.0,0,8,999067.0,False,1,3,168.0,239,1,1.3,6,very_unsat,very_high,never_thought,1,0.103654385
178,C100684,zero,381.62544169611306,21718.0,43,14,589423.0,True,3,3,169.0,145,3,2.6,6,very_unsat,little,considering,1,0.18820542
179,C100687,one,131.38686131386862,39864.5,61,25,628108.0,False,6,4,131.0,388,5,1.8,1,very_unsat,very_high,no,1,0.19458765
180,C100688,one,588.6075949367089,27453.5,58,19,516600.0,True,1,4,202.0,181,3,1.1,6,very_unsat,little,considering,1,0.3041153
181,C100708,one,1020.0000000000002,52676.0,0,0,584031.0,True,1,1,183.0,287,5,4.4,9,very_unsat,very_high,considering,1,0.28663397
182,C100711,one,242.71844660194176,53001.5,209,46,152102.0,True,1,3,168.0,340,14,1.5,2,very_sat,very_high,considering,0,0.68283606
183,C100713,zero,240.0,44169.5,0,0,692227.0,False,3,3,132.0,378,0,1.8,10,very_sat,little,considering,1,0.118825555
184,C100714,one,487.01298701298697,21227.5,54,0,605944.0,False,3,3,124.0,144,0,2.5,9,very_sat,very_little,considering,1,0.12885308
185,C100730,one,193.75,46801.5,0,38,706378.0,False,3,4,120.0,264,0,4.1,2,sat,very_high,never_thought,1,0.14337188
186,C100731,zero,420.5607476635514,51180.5,198,13,275194.0,True,5,1,228.0,385,25,6.0,6,very_unsat,little,no,0,0.5961032
187,C100733,one,278.35051546391753,35469.0,191,5,864273.0,False,0,3,181.0,221,10,3.7,5,unsat,little,actively_looking_into_it,1,0.10060072
188,C100736,one,494.3181818181818,26227.0,76,24,951587.0,False,1,2,104.0,153,3,2.9,6,very_sat,little,no,1,0.10392153
189,C100737,one,222.42314647377935,61273.0,213,24,972510.0,False,2,4,99.0,276,10,4.1,6,sat,very_high,actively_looking_into_it,1,0.11856592
190,C100748,one,498.30508474576266,98964.0,195,70,531404.0,True,1,2,197.0,131,5,2.9,1,very_unsat,very_high,considering,0,0.52647316
191,C100756,zero,436.0465116279069,91817.5,186,23,479834.0,True,2,2,145.0,731,13,6.5,4,very_unsat,very_little,never_thought,1,0.49690026
